number count
259000 300904
260000 314209
261000 317122
262000 326308
263000 329067
264000 321553
265000 327963
266000 311663
267000 319198
268000 328119
269000 320224
270000 314720
271000 339029
272000 325744
273000 318443
274000 323445
275000 334153
276000 314168
277000 316232
278000 327929
279000 332806
280000 321394
281000 353822
282000 335724
283000 323459
284000 338854
285000 383709
286000 355274
287000 328306
288000 337808
289000 332217
290000 336954
291000 347730
292000 357696
293000 341081
294000 354488
295000 361418
296000 365815
297000 355733
298000 352166
299000 363062
300000 370003
301000 366407
302000 356680
303000 367711
304000 367757
305000 361582
306000 373967
307000 366010
308000 364365
309000 371428
310000 353254
311000 355558
312000 362292
313000 361260
314000 368749
315000 371679
316000 375582
317000 366422
318000 382101
319000 385024
320000 370057
321000 381015
322000 381556
323000 364899
324000 368217
325000 367958
326000 368795
327000 367499
328000 371726
329000 377684
330000 380872
331000 384760
332000 393467
333000 405535
334000 399130
335000 399126
336000 395168
337000 417464
338000 417297
339000 402922
340000 404925
341000 416653
342000 400265
343000 403164
344000 413607
345000 407169
346000 412074
347000 398442
348000 420478
349000 403504
350000 410392
351000 402265
352000 421045
353000 424257
354000 413675
355000 408471
356000 428827
357000 440262
358000 429313
359000 435151
360000 459430
361000 445392
362000 438428
363000 433479
364000 460655
365000 424752
366000 439694
367000 448486
368000 434238
369000 429051
370000 449515
371000 458009
372000 442853
373000 450592
374000 445159
375000 439403
376000 431104
377000 452604
378000 442998
379000 444145
380000 454480
381000 457816
382000 451455
383000 462238
384000 439672
385000 455544
386000 460217
387000 464050
388000 458417
389000 459544
390000 459718
391000 472738
392000 460929
393000 463243
394000 480323
395000 482505
396000 474621
397000 466473
398000 453514
399000 464401
400000 477178
401000 467856
402000 470569
403000 474370
404000 461418
405000 483285
406000 485231
407000 490162
408000 489480
409000 485870
410000 487973
411000 493414
412000 484923
413000 485750
414000 479932
415000 477209
416000 512755
417000 495674
418000 504601
419000 492485
420000 490352
421000 494409
422000 510948
423000 492669
424000 505757
425000 493555
426000 503467
427000 502263
428000 507979
429000 490671
430000 527075
431000 498300
432000 527606
433000 506045
434000 491988
435000 517606
436000 493156
437000 515779
438000 528522
439000 533608
440000 517047
441000 532050
442000 539732
443000 541276
444000 539262
445000 534787
446000 504204
447000 522667
448000 533264
449000 523459
450000 523539
451000 526189
452000 545337
453000 540301
454000 546490
455000 531561
456000 550635
457000 538086
458000 549599
459000 544728
460000 552720
461000 529958
462000 549386
463000 536850
464000 550436
465000 564157
466000 568443
467000 548589
468000 579067
469000 587766
470000 573131
471000 569882
472000 573201
473000 552587
474000 572321
475000 556026
476000 550331
477000 553718
478000 559619
479000 572937
480000 568970
481000 551038
482000 563081
483000 584906
484000 566600
485000 556967
486000 572925
487000 575571
488000 580879
489000 578093
490000 603387
491000 596445
492000 553088
493000 595302
494000 592895
495000 578123
496000 596155
497000 574276
498000 570265
499000 561649
